gbifID,genus,species,lon,lat,basisOfRecord
1697769506,Bolboschoenus,Bolboschoenus glaucus,48.835738,38.787703,PRESERVED_SPECIMEN
1697769464,Bolboschoenus,Bolboschoenus glaucus,48.835738,38.787703,PRESERVED_SPECIMEN
